GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
70,2023-03-21,@,New York Islanders,2,7,L,,,29,7,0,2,0,60,44,57.7,41,35,53.9,21,32,39.6,55.1,83.6,Toronto Maple Leafs,New York Islanders,Toronto Maple Leafs,7,2
71,2023-03-23,@,Florida Panthers,6,2,W,,,35,8,1,3,0,46,44,51.1,34,36,48.6,21,22,48.8,40.7,115.6,Toronto Maple Leafs,Florida Panthers,Toronto Maple Leafs,2,6
72,2023-03-25,@,Carolina Hurricanes,3,5,L,,,28,6,1,2,0,62,37,62.6,46,27,63.0,18,29,38.3,48.1,89.4,Toronto Maple Leafs,Carolina Hurricanes,Toronto Maple Leafs,5,3
73,2023-03-26,@,Nashville Predators,3,2,W,,,25,10,1,4,0,44,34,56.4,34,24,58.6,27,16,62.8,47.8,98.9,Toronto Maple Leafs,Nashville Predators,Toronto Maple Leafs,2,3
74,2023-03-29,,Florida Panthers,2,3,L,OT,,29,10,1,4,0,52,38,57.8,44,28,61.1,29,11,72.5,70.0,96.4,Toronto Maple Leafs,Toronto Maple Leafs,Florida Panthers,2,3
75,2023-04-01,@,Ottawa Senators,3,0,W,,,31,2,0,2,0,36,58,38.3,25,42,37.3,21,26,44.7,50.0,115.8,Toronto Maple Leafs,Ottawa Senators,Toronto Maple Leafs,0,3
76,2023-04-02,,Detroit Red Wings,2,5,L,,,24,8,0,1,0,65,43,60.2,49,35,58.3,35,18,66.0,70.1,77.3,Toronto Maple Leafs,Toronto Maple Leafs,Detroit Red Wings,2,5
77,2023-04-04,,Columbus Blue Jackets,4,2,W,,,26,6,0,2,0,66,45,59.5,53,29,64.6,28,20,58.3,62.5,101.4,Toronto Maple Leafs,Toronto Maple Leafs,Columbus Blue Jackets,4,2
78,2023-04-06,@,Boston Bruins,1,2,L,OT,,33,21,0,4,0,48,45,51.6,37,34,52.1,20,19,51.3,46.7,95.9,Toronto Maple Leafs,Boston Bruins,Toronto Maple Leafs,2,1
79,2023-04-08,,Montreal Canadiens,7,1,W,,,21,21,0,4,0,58,35,62.4,51,25,67.1,17,21,44.7,50.0,102.3,Toronto Maple Leafs,Toronto Maple Leafs,Montreal Canadiens,7,1
80,2023-04-10,@,Florida Panthers,2,1,W,OT,,46,2,0,2,0,47,78,37.6,37,56,39.8,22,20,52.4,50.0,105.6,Toronto Maple Leafs,Florida Panthers,Toronto Maple Leafs,1,2
81,2023-04-11,@,Tampa Bay Lightning,4,3,W,,,48,24,0,8,0,32,53,37.6,26,41,38.8,22,19,53.7,46.4,101.1,Toronto Maple Leafs,Tampa Bay Lightning,Toronto Maple Leafs,3,4
82,2023-04-13,@,New York Rangers,3,2,W,,,24,2,1,2,0,49,45,52.1,34,35,49.3,24,18,57.1,40.7,109.5,Toronto Maple Leafs,New York Rangers,Toronto Maple Leafs,2,3
