GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
11,2022-11-03,,Anaheim Ducks,8,5,W,,,31,11,2,3,0,54,38,58.7,48,27,64.0,30,19,61.2,63.0,100.2,Vancouver Canucks,Vancouver Canucks,Anaheim Ducks,8,5
12,2022-11-05,,Nashville Predators,3,4,L,SO,,30,18,1,5,0,50,50,50.0,39,39,50.0,24,27,47.1,42.0,97.9,Vancouver Canucks,Vancouver Canucks,Nashville Predators,3,4
13,2022-11-08,@,Ottawa Senators,6,4,W,,,41,13,2,5,0,35,60,36.8,28,49,36.4,13,21,38.2,29.4,120.0,Vancouver Canucks,Ottawa Senators,Vancouver Canucks,4,6
14,2022-11-09,@,Montreal Canadiens,2,5,L,,,29,6,1,4,0,49,37,57.0,35,31,53.0,19,21,47.5,68.8,91.8,Vancouver Canucks,Montreal Canadiens,Vancouver Canucks,5,2
15,2022-11-12,@,Toronto Maple Leafs,2,3,L,,,34,8,1,2,0,42,57,42.4,31,46,40.3,13,25,34.2,52.0,97.9,Vancouver Canucks,Toronto Maple Leafs,Vancouver Canucks,3,2
16,2022-11-13,@,Boston Bruins,2,5,L,,,33,32,2,6,1,38,38,50.0,29,29,50.0,16,24,40.0,44.1,90.9,Vancouver Canucks,Boston Bruins,Vancouver Canucks,5,2
17,2022-11-15,@,Buffalo Sabres,5,4,W,,,32,6,0,3,0,45,55,45.0,36,37,49.3,31,21,59.6,41.7,96.7,Vancouver Canucks,Buffalo Sabres,Vancouver Canucks,4,5
18,2022-11-18,,Los Angeles Kings,4,1,W,,,38,6,0,2,0,43,54,44.3,29,45,39.2,24,22,52.2,51.3,109.9,Vancouver Canucks,Vancouver Canucks,Los Angeles Kings,4,1
19,2022-11-21,,Vegas Golden Knights,4,5,L,,,38,2,0,1,0,49,55,47.1,35,45,43.8,33,26,55.9,50.0,100.8,Vancouver Canucks,Vancouver Canucks,Vegas Golden Knights,4,5
20,2022-11-23,@,Colorado Avalanche,4,3,W,,,36,10,2,6,0,27,45,37.5,21,29,42.0,25,24,51.0,33.0,117.5,Vancouver Canucks,Colorado Avalanche,Vancouver Canucks,3,4
21,2022-11-26,@,Vegas Golden Knights,5,1,W,,,27,20,0,3,0,50,49,50.5,35,35,50.0,17,29,37.0,39.1,102.4,Vancouver Canucks,Vegas Golden Knights,Vancouver Canucks,1,5
22,2022-11-27,@,San Jose Sharks,4,3,W,OT,,35,4,1,1,0,55,60,47.8,31,45,40.8,23,28,45.1,40.0,115.0,Vancouver Canucks,San Jose Sharks,Vancouver Canucks,3,4
23,2022-11-29,,Washington Capitals,1,5,L,,,28,6,0,1,0,46,46,50.0,36,36,50.0,22,22,50.0,49.7,85.3,Vancouver Canucks,Vancouver Canucks,Washington Capitals,1,5
24,2022-12-01,,Florida Panthers,1,5,L,,,32,11,0,2,0,48,49,49.5,41,38,51.9,32,24,57.1,55.3,85.5,Vancouver Canucks,Vancouver Canucks,Florida Panthers,1,5
25,2022-12-03,,Arizona Coyotes,3,2,W,OT,,23,16,1,3,0,49,36,57.6,32,30,51.6,25,19,56.8,61.6,99.3,Vancouver Canucks,Vancouver Canucks,Arizona Coyotes,3,2
26,2022-12-05,,Montreal Canadiens,7,6,W,OT,,26,9,0,3,0,51,49,51.0,39,38,50.6,29,28,50.9,48.6,95.4,Vancouver Canucks,Vancouver Canucks,Montreal Canadiens,7,6
27,2022-12-07,@,San Jose Sharks,6,5,W,OT,,39,11,1,3,1,44,63,41.1,32,44,42.1,18,27,40.0,33.8,109.6,Vancouver Canucks,San Jose Sharks,Vancouver Canucks,5,6
28,2022-12-10,,Minnesota Wild,0,3,L,,,33,11,1,2,1,56,55,50.5,38,43,46.9,21,25,45.7,55.2,96.3,Vancouver Canucks,Vancouver Canucks,Minnesota Wild,0,3
29,2022-12-14,@,Calgary Flames,4,3,W,SO,,38,8,1,4,0,48,55,46.6,33,44,42.9,22,19,53.7,43.8,107.4,Vancouver Canucks,Calgary Flames,Vancouver Canucks,3,4
30,2022-12-17,,Winnipeg Jets,1,5,L,,,27,6,1,2,0,41,39,51.3,27,34,44.3,23,18,56.1,48.3,84.0,Vancouver Canucks,Vancouver Canucks,Winnipeg Jets,1,5
31,2022-12-19,,St. Louis Blues,1,5,L,,,27,10,2,3,0,38,39,49.4,35,33,51.5,15,18,45.5,50.0,90.7,Vancouver Canucks,Vancouver Canucks,St. Louis Blues,1,5
32,2022-12-22,,Seattle Kraken,6,5,W,SO,,36,11,0,1,0,63,66,48.8,45,46,49.5,29,28,50.9,31.0,97.8,Vancouver Canucks,Vancouver Canucks,Seattle Kraken,6,5
33,2022-12-23,@,Edmonton Oilers,5,2,W,,,33,4,0,3,0,46,52,46.9,35,34,50.7,16,29,35.6,51.7,109.0,Vancouver Canucks,Edmonton Oilers,Vancouver Canucks,2,5
34,2022-12-27,,San Jose Sharks,6,2,W,,,26,2,1,2,0,46,56,45.1,33,37,47.1,24,25,49.0,29.2,121.9,Vancouver Canucks,Vancouver Canucks,San Jose Sharks,6,2
35,2022-12-29,@,Winnipeg Jets,2,4,L,,,39,6,2,4,0,34,64,34.7,25,50,33.3,25,21,54.3,36.8,105.6,Vancouver Canucks,Winnipeg Jets,Vancouver Canucks,4,2
