GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
11,2022-11-03,,New Jersey Devils,3,4,L,,,43,4,0,3,0,55,70,44.0,45,54,45.5,23,17,57.5,49.3,96.1,Edmonton Oilers,Edmonton Oilers,New Jersey Devils,3,4
12,2022-11-05,,Dallas Stars,2,6,L,,,36,12,2,3,0,40,48,45.5,31,39,44.3,19,20,48.7,63.6,88.3,Edmonton Oilers,Edmonton Oilers,Dallas Stars,2,6
13,2022-11-07,@,Washington Capitals,4,5,L,,,31,4,4,5,0,53,55,49.1,41,39,51.3,28,30,48.3,35.0,110.3,Edmonton Oilers,Washington Capitals,Edmonton Oilers,5,4
14,2022-11-08,@,Tampa Bay Lightning,3,2,W,,,37,8,0,5,0,37,52,41.6,27,37,42.2,20,25,44.4,45.8,93.5,Edmonton Oilers,Tampa Bay Lightning,Edmonton Oilers,2,3
15,2022-11-10,@,Carolina Hurricanes,2,7,L,,,32,4,1,4,0,39,62,38.6,34,47,42.0,19,27,41.3,46.2,85.2,Edmonton Oilers,Carolina Hurricanes,Edmonton Oilers,7,2
16,2022-11-12,@,Florida Panthers,4,2,W,,,42,10,1,3,0,33,56,37.1,26,43,37.7,24,22,52.2,26.8,109.5,Edmonton Oilers,Florida Panthers,Edmonton Oilers,2,4
17,2022-11-16,,Los Angeles Kings,1,3,L,,,32,6,0,3,0,60,40,60.0,32,33,49.2,22,29,43.1,55.5,94.0,Edmonton Oilers,Edmonton Oilers,Los Angeles Kings,1,3
18,2022-11-19,,Vegas Golden Knights,4,3,W,OT,,34,6,0,3,0,40,47,46.0,30,32,48.4,15,15,50.0,35.3,104.7,Edmonton Oilers,Edmonton Oilers,Vegas Golden Knights,4,3
19,2022-11-21,@,New Jersey Devils,2,5,L,,,28,8,1,3,0,40,55,42.1,30,43,41.1,21,23,47.7,37.3,88.5,Edmonton Oilers,New Jersey Devils,Edmonton Oilers,5,2
20,2022-11-23,@,New York Islanders,0,3,L,,,31,10,1,2,1,51,39,56.7,42,30,58.3,26,31,45.6,51.6,96.0,Edmonton Oilers,New York Islanders,Edmonton Oilers,3,0
21,2022-11-26,@,New York Rangers,4,3,W,,,23,6,0,3,0,59,31,65.6,48,22,68.6,23,21,52.3,50.3,95.3,Edmonton Oilers,New York Rangers,Edmonton Oilers,3,4
22,2022-11-28,,Florida Panthers,4,3,W,OT,,28,10,1,4,0,55,41,57.3,41,34,54.7,25,26,49.0,73.8,101.1,Edmonton Oilers,Edmonton Oilers,Florida Panthers,4,3
23,2022-11-30,@,Chicago Blackhawks,5,4,W,,,25,8,2,6,0,42,34,55.3,34,21,61.8,13,30,30.2,57.5,106.8,Edmonton Oilers,Chicago Blackhawks,Edmonton Oilers,4,5
24,2022-12-01,@,Minnesota Wild,3,5,L,,,30,6,2,3,0,37,48,43.5,24,35,40.7,27,21,56.3,31.3,99.8,Edmonton Oilers,Minnesota Wild,Edmonton Oilers,5,3
25,2022-12-03,,Montreal Canadiens,5,3,W,,,33,23,2,3,0,29,50,36.7,21,39,35.0,14,21,40.0,48.0,109.8,Edmonton Oilers,Edmonton Oilers,Montreal Canadiens,5,3
26,2022-12-05,,Washington Capitals,2,3,L,,,50,2,1,3,0,50,54,48.1,37,40,48.1,22,24,47.8,59.5,97.5,Edmonton Oilers,Edmonton Oilers,Washington Capitals,2,3
27,2022-12-07,,Arizona Coyotes,8,2,W,,,18,27,0,2,0,45,29,60.8,33,24,57.9,22,20,52.4,56.6,113.2,Edmonton Oilers,Edmonton Oilers,Arizona Coyotes,8,2
28,2022-12-09,,Minnesota Wild,5,2,W,,,44,6,1,5,0,50,42,54.3,38,31,55.1,32,32,50.0,56.5,105.4,Edmonton Oilers,Edmonton Oilers,Minnesota Wild,5,2
29,2022-12-12,@,Minnesota Wild,1,2,L,,,30,10,1,3,0,34,43,44.2,22,37,37.3,23,14,62.2,56.5,95.8,Edmonton Oilers,Minnesota Wild,Edmonton Oilers,2,1
30,2022-12-13,@,Nashville Predators,6,3,W,,,32,4,0,5,0,52,52,50.0,42,38,52.5,21,28,42.9,57.1,100.0,Edmonton Oilers,Nashville Predators,Edmonton Oilers,3,6
31,2022-12-15,,St. Louis Blues,3,4,L,SO,,32,10,0,4,1,43,48,47.3,35,34,50.7,20,18,52.6,31.6,97.3,Edmonton Oilers,Edmonton Oilers,St. Louis Blues,3,4
32,2022-12-17,,Anaheim Ducks,3,4,L,,,17,16,1,2,0,58,33,63.7,49,25,66.2,21,30,41.2,64.2,81.5,Edmonton Oilers,Edmonton Oilers,Anaheim Ducks,3,4
33,2022-12-19,@,Nashville Predators,3,4,L,OT,,35,6,1,2,0,52,54,49.1,37,45,45.1,19,24,44.2,51.0,94.0,Edmonton Oilers,Nashville Predators,Edmonton Oilers,4,3
34,2022-12-21,@,Dallas Stars,6,3,W,,,27,6,1,4,0,58,42,58.0,44,31,58.7,20,28,41.7,54.5,106.1,Edmonton Oilers,Dallas Stars,Edmonton Oilers,3,6
35,2022-12-23,,Vancouver Canucks,2,5,L,,,30,6,1,2,0,52,46,53.1,34,35,49.3,29,16,64.4,48.3,91.0,Edmonton Oilers,Edmonton Oilers,Vancouver Canucks,2,5
36,2022-12-27,@,Calgary Flames,2,1,W,,,47,6,0,1,0,26,84,23.6,20,59,25.3,24,28,46.2,24.3,103.9,Edmonton Oilers,Calgary Flames,Edmonton Oilers,1,2
37,2022-12-30,@,Seattle Kraken,7,2,W,,,38,11,0,3,0,50,59,45.9,33,45,42.3,19,27,41.3,41.4,111.8,Edmonton Oilers,Seattle Kraken,Edmonton Oilers,2,7
38,2022-12-31,,Winnipeg Jets,1,2,L,,,17,10,1,3,0,48,26,64.9,36,20,64.3,15,22,40.5,68.0,95.8,Edmonton Oilers,Edmonton Oilers,Winnipeg Jets,1,2
39,2023-01-03,,Seattle Kraken,2,5,L,,,24,6,1,3,0,49,38,56.3,35,30,53.8,29,23,55.8,54.8,85.0,Edmonton Oilers,Edmonton Oilers,Seattle Kraken,2,5
40,2023-01-05,,New York Islanders,4,2,W,,,22,8,0,3,0,56,32,63.6,40,22,64.5,19,21,47.5,57.7,96.0,Edmonton Oilers,Edmonton Oilers,New York Islanders,4,2
