GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
11,2022-11-03,@,San Jose Sharks,4,3,W,SO,,39,7,1,2,0,69,61,53.1,51,45,53.1,30,26,53.6,51.4,99.8,Florida Panthers,San Jose Sharks,Florida Panthers,3,4
12,2022-11-05,@,Los Angeles Kings,4,5,L,,,39,4,1,6,0,69,46,60.0,53,33,61.6,27,32,45.8,51.3,95.8,Florida Panthers,Los Angeles Kings,Florida Panthers,5,4
13,2022-11-06,@,Anaheim Ducks,5,3,W,,,35,12,0,2,1,80,52,60.6,51,41,55.4,33,21,61.1,58.2,100.5,Florida Panthers,Anaheim Ducks,Florida Panthers,3,5
14,2022-11-09,,Carolina Hurricanes,3,0,W,,,40,8,0,3,0,38,50,43.2,31,36,46.3,22,26,45.8,44.0,109.5,Florida Panthers,Florida Panthers,Carolina Hurricanes,3,0
15,2022-11-12,,Edmonton Oilers,2,4,L,,,32,6,1,5,0,56,33,62.9,43,26,62.3,22,24,47.8,73.2,90.5,Florida Panthers,Florida Panthers,Edmonton Oilers,2,4
16,2022-11-15,,Washington Capitals,5,2,W,,,43,4,0,5,0,55,61,47.4,39,44,47.0,18,26,40.9,22.7,104.9,Florida Panthers,Florida Panthers,Washington Capitals,5,2
17,2022-11-17,,Dallas Stars,4,6,L,,,29,15,0,3,0,55,42,56.7,43,30,58.9,22,28,44.0,62.5,77.0,Florida Panthers,Florida Panthers,Dallas Stars,4,6
18,2022-11-19,,Calgary Flames,4,5,L,SO,,35,13,1,3,0,50,51,49.5,39,39,50.0,28,29,49.1,45.4,100.0,Florida Panthers,Florida Panthers,Calgary Flames,4,5
19,2022-11-20,@,Columbus Blue Jackets,3,5,L,,,23,6,2,2,1,80,33,70.8,57,30,65.5,31,35,47.0,68.0,96.1,Florida Panthers,Columbus Blue Jackets,Florida Panthers,5,3
20,2022-11-23,,Boston Bruins,5,2,W,,,39,14,2,6,0,39,52,42.9,31,38,44.9,17,26,39.5,43.6,109.1,Florida Panthers,Florida Panthers,Boston Bruins,5,2
21,2022-11-26,,St. Louis Blues,4,5,L,OT,,37,11,0,4,0,45,46,49.5,39,36,52.0,19,20,48.7,43.9,93.8,Florida Panthers,Florida Panthers,St. Louis Blues,4,5
22,2022-11-28,@,Edmonton Oilers,3,4,L,OT,,40,8,1,5,0,41,55,42.7,34,41,45.3,26,25,51.0,26.2,98.9,Florida Panthers,Edmonton Oilers,Florida Panthers,4,3
23,2022-11-29,@,Calgary Flames,2,6,L,,,23,12,1,4,1,42,40,51.2,34,31,52.3,19,22,46.3,68.3,83.9,Florida Panthers,Calgary Flames,Florida Panthers,6,2
24,2022-12-01,@,Vancouver Canucks,5,1,W,,,33,9,0,3,0,49,48,50.5,38,41,48.1,24,32,42.9,44.7,114.5,Florida Panthers,Vancouver Canucks,Florida Panthers,1,5
25,2022-12-03,@,Seattle Kraken,5,1,W,,,36,10,0,2,0,42,55,43.3,31,45,40.8,22,20,52.4,37.5,106.5,Florida Panthers,Seattle Kraken,Florida Panthers,1,5
26,2022-12-06,@,Winnipeg Jets,2,5,L,,,31,13,2,4,0,55,41,57.3,45,34,57.0,14,30,31.8,61.3,89.5,Florida Panthers,Winnipeg Jets,Florida Panthers,5,2
27,2022-12-08,,Detroit Red Wings,5,1,W,,,20,16,1,4,0,54,27,66.7,39,21,65.0,16,18,47.1,40.0,117.2,Florida Panthers,Florida Panthers,Detroit Red Wings,5,1
28,2022-12-10,@,Tampa Bay Lightning,1,4,L,,,38,10,0,4,0,50,49,50.5,34,39,46.6,21,18,53.8,44.4,90.3,Florida Panthers,Tampa Bay Lightning,Florida Panthers,4,1
29,2022-12-11,,Seattle Kraken,2,5,L,,,32,8,1,6,0,33,39,45.8,25,32,43.9,31,13,70.5,41.6,94.3,Florida Panthers,Florida Panthers,Seattle Kraken,2,5
30,2022-12-13,,Columbus Blue Jackets,4,0,W,,,22,6,0,3,0,46,44,51.1,35,30,53.8,16,16,50.0,47.8,120.0,Florida Panthers,Florida Panthers,Columbus Blue Jackets,4,0
31,2022-12-15,,Pittsburgh Penguins,2,4,L,,,39,6,2,3,1,51,48,51.5,43,45,48.9,29,30,49.2,46.1,103.2,Florida Panthers,Florida Panthers,Pittsburgh Penguins,2,4
32,2022-12-17,@,New Jersey Devils,4,2,W,,,32,6,0,3,0,49,64,43.4,33,46,41.8,28,24,53.8,48.5,104.6,Florida Panthers,New Jersey Devils,Florida Panthers,2,4
33,2022-12-19,@,Boston Bruins,3,7,L,,,26,8,2,4,0,55,42,56.7,43,31,58.1,23,27,46.0,48.6,84.1,Florida Panthers,Boston Bruins,Florida Panthers,7,3
