GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
30,2022-12-15,@,Edmonton Oilers,4,3,W,SO,,27,8,2,5,0,48,43,52.7,34,35,49.3,18,20,47.4,68.4,102.7,St. Louis Blues,Edmonton Oilers,St. Louis Blues,3,4
31,2022-12-16,@,Calgary Flames,5,2,W,,,43,4,0,3,0,34,69,33.0,28,54,34.1,30,27,52.6,32.4,113.6,St. Louis Blues,Calgary Flames,St. Louis Blues,2,5
32,2022-12-19,@,Vancouver Canucks,5,1,W,,,34,8,0,4,0,39,38,50.6,33,35,48.5,18,15,54.5,50.0,109.3,St. Louis Blues,Vancouver Canucks,St. Louis Blues,1,5
33,2022-12-20,@,Seattle Kraken,2,5,L,,,33,6,0,3,0,42,52,44.7,27,45,37.5,15,19,44.1,61.9,89.9,St. Louis Blues,Seattle Kraken,St. Louis Blues,5,2
34,2022-12-23,@,Vegas Golden Knights,4,5,L,SO,,32,6,1,2,0,46,41,52.9,32,30,51.6,16,20,44.4,53.4,100.5,St. Louis Blues,Vegas Golden Knights,St. Louis Blues,5,4
35,2022-12-27,,Toronto Maple Leafs,4,5,L,OT,,37,8,0,2,1,50,52,49.0,37,45,45.1,18,22,45.0,43.5,98.6,St. Louis Blues,St. Louis Blues,Toronto Maple Leafs,4,5
36,2022-12-29,,Chicago Blackhawks,3,1,W,,,22,6,1,2,0,37,37,50.0,29,24,54.7,16,19,45.7,65.0,113.0,St. Louis Blues,St. Louis Blues,Chicago Blackhawks,3,1
37,2022-12-31,,Minnesota Wild,2,5,L,,,32,20,0,2,0,51,57,47.2,41,43,48.8,28,13,68.3,64.5,91.0,St. Louis Blues,St. Louis Blues,Minnesota Wild,2,5
38,2023-01-03,@,Toronto Maple Leafs,6,5,W,SO,,25,4,1,3,0,48,52,48.0,34,38,47.2,14,30,31.8,43.2,90.3,St. Louis Blues,Toronto Maple Leafs,St. Louis Blues,5,6
39,2023-01-05,@,New Jersey Devils,5,3,W,,,39,4,1,4,0,26,61,29.9,19,43,30.6,11,21,34.4,42.1,124.1,St. Louis Blues,New Jersey Devils,St. Louis Blues,3,5
40,2023-01-07,@,Montreal Canadiens,4,5,L,,,27,6,1,4,0,42,33,56.0,29,25,53.7,21,14,60.0,50.7,94.7,St. Louis Blues,Montreal Canadiens,St. Louis Blues,5,4
41,2023-01-08,@,Minnesota Wild,3,0,W,,,35,8,0,3,0,32,68,32.0,25,45,35.7,21,13,61.8,40.0,111.1,St. Louis Blues,Minnesota Wild,St. Louis Blues,0,3
42,2023-01-10,,Calgary Flames,4,3,W,OT,,31,4,0,2,0,39,52,42.9,35,42,45.5,22,26,45.8,49.7,101.2,St. Louis Blues,St. Louis Blues,Calgary Flames,4,3
43,2023-01-12,,Calgary Flames,1,4,L,,,40,6,0,1,0,37,63,37.0,29,49,37.2,19,23,45.2,51.7,94.7,St. Louis Blues,St. Louis Blues,Calgary Flames,1,4
44,2023-01-14,,Tampa Bay Lightning,2,4,L,,,30,6,1,2,0,36,59,37.9,28,41,40.6,19,29,39.6,53.6,98.4,St. Louis Blues,St. Louis Blues,Tampa Bay Lightning,2,4
45,2023-01-16,,Ottawa Senators,2,1,W,,,33,9,0,1,0,45,44,50.6,26,36,41.9,34,14,70.8,52.9,107.0,St. Louis Blues,St. Louis Blues,Ottawa Senators,2,1
46,2023-01-19,,Nashville Predators,5,2,W,,,26,15,0,4,0,48,37,56.5,39,31,55.7,23,11,67.6,50.0,104.8,St. Louis Blues,St. Louis Blues,Nashville Predators,5,2
47,2023-01-21,,Chicago Blackhawks,3,5,L,,,18,15,0,2,1,51,27,65.4,37,19,66.1,20,19,51.3,77.3,78.3,St. Louis Blues,St. Louis Blues,Chicago Blackhawks,3,5
48,2023-01-24,,Buffalo Sabres,3,5,L,,,31,6,0,2,1,38,36,51.4,34,31,52.3,23,18,56.1,36.8,94.4,St. Louis Blues,St. Louis Blues,Buffalo Sabres,3,5
49,2023-01-26,@,Arizona Coyotes,0,5,L,,,25,11,1,2,0,49,42,53.8,34,32,51.5,22,20,52.4,60.5,82.6,St. Louis Blues,Arizona Coyotes,St. Louis Blues,5,0
50,2023-01-28,@,Colorado Avalanche,2,4,L,,,31,10,0,2,0,47,54,46.5,33,40,45.2,20,31,39.2,57.7,89.9,St. Louis Blues,Colorado Avalanche,St. Louis Blues,4,2
