GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
13,2022-11-09,@,Washington Capitals,4,1,W,,,25,11,0,4,0,45,50,47.4,32,33,49.2,21,20,51.2,70.8,108.9,Pittsburgh Penguins,Washington Capitals,Pittsburgh Penguins,1,4
14,2022-11-11,@,Toronto Maple Leafs,4,2,W,,,30,2,1,3,0,45,48,48.4,33,33,50.0,23,20,53.5,61.5,115.0,Pittsburgh Penguins,Toronto Maple Leafs,Pittsburgh Penguins,2,4
15,2022-11-12,@,Montreal Canadiens,4,5,L,OT,,42,8,1,5,0,38,54,41.3,31,36,46.3,25,24,51.0,45.9,104.0,Pittsburgh Penguins,Montreal Canadiens,Pittsburgh Penguins,5,4
16,2022-11-15,,Toronto Maple Leafs,2,5,L,,,33,8,0,1,0,63,55,53.4,41,40,50.6,25,20,55.6,50.0,89.7,Pittsburgh Penguins,Pittsburgh Penguins,Toronto Maple Leafs,2,5
17,2022-11-17,@,Minnesota Wild,6,4,W,,,23,10,0,3,1,44,39,53.0,30,29,50.8,25,19,56.8,65.0,102.4,Pittsburgh Penguins,Minnesota Wild,Pittsburgh Penguins,4,6
18,2022-11-19,@,Winnipeg Jets,3,0,W,,,32,4,0,2,0,49,45,52.1,42,40,51.2,26,29,47.3,47.8,110.0,Pittsburgh Penguins,Winnipeg Jets,Pittsburgh Penguins,0,3
19,2022-11-20,@,Chicago Blackhawks,5,3,W,,,32,14,0,4,0,46,48,48.9,31,36,46.3,30,24,55.6,44.5,112.0,Pittsburgh Penguins,Chicago Blackhawks,Pittsburgh Penguins,3,5
20,2022-11-23,,Calgary Flames,2,1,W,SO,,34,6,0,3,0,57,53,51.8,41,42,49.4,24,24,50.0,62.7,99.8,Pittsburgh Penguins,Pittsburgh Penguins,Calgary Flames,2,1
21,2022-11-25,@,Philadelphia Flyers,4,1,W,,,30,15,0,1,0,50,45,52.6,31,37,45.6,27,16,62.8,39.0,112.7,Pittsburgh Penguins,Philadelphia Flyers,Pittsburgh Penguins,1,4
22,2022-11-26,,Toronto Maple Leafs,1,4,L,,,41,4,0,3,0,44,47,48.4,34,37,47.9,23,24,48.9,59.4,91.8,Pittsburgh Penguins,Pittsburgh Penguins,Toronto Maple Leafs,1,4
23,2022-11-29,,Carolina Hurricanes,2,3,L,OT,,39,4,0,2,0,50,57,46.7,36,46,43.9,22,26,45.8,51.5,97.9,Pittsburgh Penguins,Pittsburgh Penguins,Carolina Hurricanes,2,3
24,2022-12-01,,Vegas Golden Knights,4,3,W,,,37,12,2,3,0,72,51,58.5,47,42,52.8,21,20,51.2,56.4,103.8,Pittsburgh Penguins,Pittsburgh Penguins,Vegas Golden Knights,4,3
25,2022-12-03,,St. Louis Blues,6,2,W,,,28,18,0,2,0,53,38,58.2,40,27,59.7,22,19,53.7,63.0,104.3,Pittsburgh Penguins,Pittsburgh Penguins,St. Louis Blues,6,2
